type;(All);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sum of XLarge Bags;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Row Labels;California;GreatLakes;Midsouth;Northeast;Plains;SouthCentral;Southeast;TotalUS;West;Grand Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015; 199.155 ; 1.410.785 ; 86.415 ; 17.249 ; 83.510 ; 200.554 ; 6.510 ; 2.057.743 ; 53.565 ; 4.115.486 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016; 1.359.896 ; 2.048.856 ; 592.005 ; 512.462 ; 558.552 ; 1.330.166 ; 853.367 ; 7.525.276 ; 269.972 ; 15.050.552 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017; 2.818.381 ; 2.104.327 ; 599.296 ; 683.260 ; 448.594 ; 646.814 ; 1.481.392 ; 9.088.840 ; 306.777 ; 18.177.681 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018; 895.146 ; 828.557 ; 100.601 ; 96.397 ; 22.281 ; 462.576 ; 175.494 ; 2.783.372 ; 202.320 ; 5.566.743 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grand Total; 5.272.578 ; 6.392.524 ; 1.378.317 ; 1.309.368 ; 1.112.937 ; 2.640.111 ; 2.516.763 ; 21.455.231 ; 832.635 ; 42.910.463 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
type;(All);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
